Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.740943	Val Loss: 1.789668	Val Acc: 67
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 1.731643	Val Loss: 1.783982	Val Acc: 67
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 1.750439	Val Loss: 1.792246	Val Acc: 66
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 1.716492	Val Loss: 1.786596	Val Acc: 67
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.822450	Val Loss: 1.774158	Val Acc: 68
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 1.652203	Val Loss: 1.777923	Val Acc: 69
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 1.702196	Val Loss: 1.766286	Val Acc: 69
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 1.697243	Val Loss: 1.781434	Val Acc: 68
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 1.713503	Val Loss: 1.780439	Val Acc: 67
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 1.706109	Val Loss: 1.775791	Val Acc: 68
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 1.688469	Val Loss: 1.762311	Val Acc: 69
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 1.671576	Val Loss: 1.763137	Val Acc: 70
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 1.716453	Val Loss: 1.791680	Val Acc: 66
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 1.689486	Val Loss: 1.788410	Val Acc: 67
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 1.782611	Val Loss: 1.777601	Val Acc: 68
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 1.690532	Val Loss: 1.774204	Val Acc: 69
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 1.657063	Val Loss: 1.777491	Val Acc: 68
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 1.641589	Val Loss: 1.760473	Val Acc: 70
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 1.650921	Val Loss: 1.770463	Val Acc: 68
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 1.663364	Val Loss: 1.769692	Val Acc: 69
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 1.662195	Val Loss: 1.760680	Val Acc: 69
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 1.655493	Val Loss: 1.761043	Val Acc: 70
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 1.658239	Val Loss: 1.769743	Val Acc: 69
Train Epoch: 8 [46080/49000 (94%)]	Train Loss: 1.669022	Val Loss: 1.761549	Val Acc: 69
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 1.762489	Val Loss: 1.763348	Val Acc: 70
Train Epoch: 9 [5120/49000 (10%)]	Train Loss: 1.606037	Val Loss: 1.760475	Val Acc: 70
Train Epoch: 9 [10240/49000 (21%)]	Train Loss: 1.637756	Val Loss: 1.752829	Val Acc: 70
Train Epoch: 9 [15360/49000 (31%)]	Train Loss: 1.634192	Val Loss: 1.758306	Val Acc: 70
